param_kernel,param_class_weight,param_C,param_gamma,mean_test_F1,mean_test_AUC
linear,balanced,13.921548533046511,0.07866216981266846,0.8151102676637988,0.8864269675080485
linear,,2.5207959530489195,0.00015673095467235422,0.8120369923127977,0.88510131753375
rbf,balanced,67.32248920775338,0.0014330109455635695,0.79913978009324,0.8856694532370207
linear,,0.0745934328572655,0.00035506214270707734,0.7752624901363617,0.8655412168925682
linear,balanced,0.033205591037519584,0.0001050023250423136,0.7402872589391402,0.8606444282119958
linear,balanced,0.011526449540315618,0.09476210031010524,0.7122838228365866,0.8539620701782864
rbf,balanced,0.0014340571602734114,0.021154290797261225,0.5771365673401997,0.8097015934853773
rbf,balanced,0.09022004468565618,0.009717775305059635,0.5243245111508584,0.8260422584746908
rbf,balanced,0.001267425589893723,0.01465535411872771,0.5138936721485908,0.8150312474636799
rbf,balanced,0.13359166801651828,0.004366473592979638,0.4574002574002574,0.8279089900711524
rbf,,0.0027698899227562817,0.0036517646487517572,0.27534705505614004,0.8251765278792306
rbf,balanced,1.1219752813215704,0.00012681352169084607,0.21918801222944642,0.8274220166112057
poly,,0.19780827689353775,0.006358358856676255,0.017751790981879477,0.8267727186646106
poly,balanced,0.9643857615941438,0.00029375384576328325,0.017751790981879477,0.8267727186646106
poly,,0.028585493941961918,0.0015833718339012073,0.017751790981879477,0.8267727186646106
poly,,0.19069966103000435,0.007164040428191013,0.017751790981879477,0.8267727186646106
poly,balanced,0.0030786517836196197,0.0005285382203816729,0.017751790981879477,0.8267727186646106
poly,,82.4431219090508,0.000137832374550072,0.017751790981879477,0.8267727186646106
poly,balanced,0.0945695189734589,0.00621870472776908,0.017751790981879477,0.8267727186646106
poly,balanced,0.04233032996527596,0.017456626922659337,0.017751790981879477,0.8267727186646106
